area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,latitude,longitude,distance,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Stare Miasto,district_Swoszowice,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
74.8,14532.09,6,7,3,2016.0,True,50.09742625,20.00960263225891,6.500728235137685,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
32.0,17187.5,4,8,1,2012.0,False,50.0778056,20.0123068,5.639111140541514,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32.3,17028.0,4,10,1,1985.0,False,50.0778056,20.0123068,5.639111140541514,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155.16,14758.96,0,2,5,2009.0,True,50.0627097,19.8720018,4.66252293558959,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
139.0,17258.99,1,2,3,2022.0,False,50.0627097,19.8720018,4.66252293558959,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
146.68,16355.33,2,2,3,2002.0,True,50.0627097,19.8720018,4.66252293558959,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
61.3,12703.0,1,5,2,2023.0,True,50.103296,19.963896,4.983477984453278,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.0,17636.0,4,7,3,2023.0,True,50.0959509,19.9247837,3.89533525363376,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28.0,14642.86,0,2,1,1997.0,False,50.0218528,20.050650065680124,9.235760486397304,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.0,15937.5,3,4,3,2023.0,True,50.022046,20.0461313,8.943634438628886,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
