,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,parking space details,location,latitude,longitude,distance,district
0,"https://krakow.nieruchomosci-online.pl/mieszkanie,przy-lesie/24918423.html",Mieszkanie Kraków,"103171, Mistrzejowice, Kraków, małopolskie",1087000.0,74.8,14532.09,6,7,3,2016.0,True,wtórny,pełna własność,w garażu podziemnym,"Mistrzejowice, Kraków, województwo małopolskie, Polska",50.09742625,20.00960263225891,6.500728235137685,Mistrzejowice
1,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24849459.html",Mieszkanie Kraków,"2 Pułku Lotniczego, Kraków, małopolskie",550000.0,32.0,17187.5,4,8,1,2012.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"2, Osiedle 2 Pułku Lotniczego, Czyżyny, Kraków, województwo małopolskie, 31-867, Polska",50.0778056,20.0123068,5.639111140541514,Czyżyny
2,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24911773.html",Mieszkanie Kraków,"2 Pułku Lotniczego, Kraków, małopolskie",550000.0,32.3,17028.0,4,10,1,1985.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"2, Osiedle 2 Pułku Lotniczego, Czyżyny, Kraków, województwo małopolskie, 31-867, Polska",50.0778056,20.0123068,5.639111140541514,Czyżyny
3,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24637004.html","Apartament, ul. 28 Lipca 1943","28 Lipca 1943, Wola Justowska, Kraków, małopolskie",2290000.0,155.16,14758.96,0,2,5,2009.0,True,wtórny,pełna własność,garaż wolnostojący,"28 Lipca 1943, Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-233, Polska",50.0627097,19.8720018,4.66252293558959,Zwierzyniec
4,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/23030902.html","Mieszkanie, ul. 28 Lipca 1943","28 Lipca 1943, Wola Justowska, Kraków, małopolskie",2399000.0,139.0,17258.99,1,2,3,2022.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"28 Lipca 1943, Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-233, Polska",50.0627097,19.8720018,4.66252293558959,Zwierzyniec
5,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24837111.html","Apartament, ul. 28 Lipca 1943","28 Lipca 1943, Wola Justowska, Kraków, małopolskie",2399000.0,146.68,16355.33,2,2,3,2002.0,True,wtórny,pełna własność,tak,"28 Lipca 1943, Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-233, Polska",50.0627097,19.8720018,4.66252293558959,Zwierzyniec
7,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24902022.html","Kawalerka, ul. Agatowa","Agatowa 18, Bieżanów, Kraków, małopolskie",410000.0,28.0,14642.86,0,2,1,1997.0,False,wtórny,spółdzielcze wł. prawo do lokalu,parking publiczny / na ulicy,"18, Agatowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",50.0218528,20.050650065680124,9.235760486397304,Bieżanów-Prokocim
8,"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24783309.html","Mieszkanie, ul. Agatowa","Agatowa, Bieżanów, Kraków, małopolskie",765000.0,48.0,15937.5,3,4,3,2023.0,True,wtórny,pełna własność,przynależne na ulicy,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
9,"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24783225.html","Mieszkanie, ul. Agatowa","Agatowa, Bieżanów, Kraków, małopolskie",795000.0,53.5,14859.81,1,4,3,2022.0,True,wtórny,pełna własność,przynależne na ulicy,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
10,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24844707.html","Mieszkanie, ul. Agatowa","Agatowa, Bieżanów-Prokocim, Kraków, małopolskie",599000.0,44.5,19019.61,1,2,2,1997.0,True,wtórny,spółdzielcze wł. prawo do lokalu,tak,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
11,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24832261.html","Mieszkanie, ul. Agatowa","Agatowa, Dzielnica XII Bieżanów-Prokocim, Kraków, małopolskie",599000.0,44.5,13460.67,1,2,2,1997.0,False,wtórny,spółdzielcze wł. prawo do lokalu,parking publiczny / na ulicy,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
12,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24847418.html","Mieszkanie, ul. Agatowa","Agatowa, Kraków, małopolskie",690000.0,48.73,14159.66,1,4,2,2014.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
13,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24891011.html","Mieszkanie, ul. Agatowa","Agatowa, Podgórze, Kraków, małopolskie",625000.0,36.8,16983.7,4,4,2,2019.0,True,wtórny,pełna własność,garaż,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
14,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24776407.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",370713.0,26.67,13900.0,1,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
15,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24258484.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",370713.0,26.67,13900.0,2,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
16,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24258761.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",370713.0,26.67,13900.0,3,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
17,"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,deweloperski/24255923.html","Kawalerka, ul. Agatowa","Agatowa, Złocień, Kraków, małopolskie",371495.0,26.18,14190.03,0,4,1,2023.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313,8.943634438628886,Bieżanów-Prokocim
