,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material,location,latitude,longitude
0,https://www.otodom.pl/pl/oferta/nowe-mieszkania-na-gorce-narodowej-ID4pFlJ,Nowe mieszkania na Górce Narodowej,"29 listopada - okolice, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",778689.0,61.3,12703.0,1,5,2,2023.0,True,pierwotny,pełna własność,brak informacji,541.1313434298921,miejskie,biuro nieruchomości,True,balkon,brak informacji,brak informacji,"29 Listopada, Ogrody, Osiedle Ogrody, Skawina, gmina Skawina, powiat krakowski, województwo małopolskie, 23-050, Polska",49.9730627,19.8323374
1,https://www.otodom.pl/pl/oferta/balkon-3-pokoje-parking-ID4p6Q9,balkon + 3 pokoje + parking,"Adama Vetulaniego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",970000.0,55.0,17636.0,4,7,3,2023.0,True,wtórny,pełna własność,brak informacji,450.0,miejskie,biuro nieruchomości,True,balkon,blok,brak informacji,"Adama Vetulaniego, Prądnik Biały, Kraków, województwo małopolskie, 31-226, Polska",50.0959509,19.9247837
2,https://www.otodom.pl/pl/oferta/zlocien-2-pokoje-balkon-ID4q4QM,"Złocień, 2 pokoje, balkon","Agatowa, Domagały,, Złocień, Bieżanów-Prokocim, Kraków, małopolskie",625000.0,36.8,16984.0,4,4,2,2019.0,False,wtórny,pełna własność,do zamieszkania,425.0,miejskie,biuro nieruchomości,True,balkon,blok,brak informacji,"Agatowa, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-758, Polska",50.022046,20.0461313
3,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-42m2-ID4pqOV,komfortowe 2-pokojowe mieszkanie 42m2,"Albertyńskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",559000.0,42.0,13310.0,2,4,2,1964.0,False,wtórny,pełna własność,brak informacji,500.0,miejskie,biuro nieruchomości,False,balkon,blok,brak informacji,"Osiedle Albertyńskie, Bieńczyce, Kraków, województwo małopolskie, Polska",50.0814309,20.0176277
4,https://www.otodom.pl/pl/oferta/aleja-29-listopada-obok-ur-ID4oUq6,Aleja 29 Listopada obok UR,"Aleja 29 Listopada, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",695000.0,48.1,14449.0,3,3,2,2013.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,gazowe,biuro nieruchomości,False,balkon,blok,brak informacji,"Aleja 29 Listopada, Górka Narodowa, Prądnik Biały, Kraków, województwo małopolskie, 31-236, Polska",50.0997677,19.9628389
5,https://www.otodom.pl/pl/oferta/krowodrza-prandoty-po-remoncie-kamienica-ID4pRym,Krowodrza - Prandoty- po remoncie - kamienica,"Aleja 29 Listopada, Olsza, Prądnik Czerwony, Kraków, małopolskie",560000.0,31.0,18065.0,2,2,1,2013.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,brak informacji,biuro nieruchomości,False,None,brak informacji,brak informacji,"Aleja 29 Listopada, Rogatka Warszawska, Olsza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-425, Polska",50.0831501,19.952517
6,https://www.otodom.pl/pl/oferta/idealne-mieszkanie-pod-inwestycje-ID4p8ri,Idealne mieszkanie pod inwestycje,"Aleja 29 Listopada, Olsza, Prądnik Czerwony, Kraków, małopolskie",695000.0,48.0,14479.0,1,2,2,1980.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,brak informacji,biuro nieruchomości,False,None,brak informacji,brak informacji,"Aleja 29 Listopada, Rogatka Warszawska, Olsza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-425, Polska",50.0831501,19.952517
7,https://www.otodom.pl/pl/oferta/najtansze-w-inwestycji-ogrod-ID4pJiC,Najtansze W Inwestycji ! Ogród!,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",679999.0,34.5,19710.0,0,6,2,2024.0,True,pierwotny,pełna własność,do wykończenia,550.0,brak informacji,biuro nieruchomości,False,"ogródek, taras",brak informacji,brak informacji,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, województwo małopolskie, 31-401, Polska",50.0750648,19.9467425
8,https://www.otodom.pl/pl/oferta/dwa-osobne-pokoje-w-centrum-balkon-ID4pVfi,Dwa osobne pokoje w centrum | Balkon,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",797000.0,48.5,16433.0,2,2,2,1960.0,True,wtórny,pełna własność,do zamieszkania,600.0,miejskie,biuro nieruchomości,False,balkon,blok,brak informacji,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, województwo małopolskie, 31-401, Polska",50.0750648,19.9467425
9,https://www.otodom.pl/pl/oferta/m-dla-osob-ceniacych-komfort-i-oszczednosc-czasu-ID4pYkz,M. dla osób ceniących komfort i oszczędność czasu,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",799000.0,41.0,19488.0,4,8,2,2018.0,False,wtórny,pełna własność,do zamieszkania,520.0,miejskie,biuro nieruchomości,True,balkon,apartamentowiec,brak informacji,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, województwo małopolskie, 31-401, Polska",50.0750648,19.9467425
10,https://www.otodom.pl/pl/oferta/mozliwosc-wydzielenia-3-pokoi-ID4pJms,Możliwość Wydzielenia 3 Pokoi,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",870999.0,47.0,18532.0,0,6,3,2024.0,True,pierwotny,pełna własność,do wykończenia,550.0,brak informacji,biuro nieruchomości,False,"ogródek, taras",brak informacji,brak informacji,"Aleja 29 Listopada, Przedmieście Warszawskie, Stare Miasto, Kraków, województwo małopolskie, 31-401, Polska",50.0750648,19.9467425
