address,manipulated address,location,latitude,longitude
"Ludwika Pasteura, Prądnik Biały, Prądnik Biały, Kraków, małopolskie","Ludwika Pasteura, Prądnik Biały, Prądnik Biały, Kraków, małopolskie","Ludwika Pasteura, Prądnik Biały, Kraków, województwo małopolskie, 31-222, Polska",50.0973468,19.9329747
"Konfederacka, Dębniki, Kraków, małopolskie","Konfederacka, Dębniki, Kraków, małopolskie","Konfederacka, Dębniki, Kraków, województwo małopolskie, 30-318, Polska",50.0497598,19.9264538
"Bronowice Wiadukt, Bronowice, Bronowice, Kraków, małopolskie","Bronowice Wiadukt, Bronowice, Bronowice, Kraków, małopolskie","Bronowice, Kraków, województwo małopolskie, Polska",50.0833247,19.869783648014888
"abp. Zygmunta Szczęsnego Felińskiego, Górka Narodowa, Prądnik Biały, Kraków, małopolskie","abp. Zygmunta Szczęsnego Felińskiego, Górka Narodowa, Prądnik Biały, Kraków, małopolskie","Arcybiskupa Zygmunta Szczęsnego Felińskiego, Górka Narodowa, Prądnik Biały, Kraków, województwo małopolskie, 31-236, Polska",50.1007058,19.9670637
"Seweryna Goszczyńskiego, Płaszów, Podgórze, Kraków, małopolskie","Seweryna Goszczyńskiego, Płaszów, Podgórze, Kraków, małopolskie","Seweryna Goszczyńskiego, Rogatka, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-724, Polska",50.0377005,19.9910359
"Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie","Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie","Henryka Pachońskiego, Prądnik Biały, Kraków, województwo małopolskie, 31-223, Polska",50.0935683,19.9225386
"Bieńczycka, Nowa Huta, Nowa Huta, Kraków, małopolskie","Bieńczycka, Nowa Huta, Nowa Huta, Kraków, małopolskie","Bieńczycka, Nowa Huta, Kraków, województwo małopolskie, 31-860, Polska",50.0772202,20.0235855
"Cieszyńska, Krowodrza, Kraków, małopolskie","Cieszyńska, Krowodrza, Kraków, małopolskie","Cieszyńska, Nowy Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-006, Polska",50.0751113,19.9316778
"Osiedle Stalowe, Nowa Huta, Nowa Huta, Kraków, małopolskie","Osiedle Stalowe, Nowa Huta, Nowa Huta, Kraków, małopolskie","Osiedle Stalowe, Nowa Huta, Kraków, województwo małopolskie, Polska",50.0738288,20.0506477
"Rozdroże, Podwawelskie, Kraków, małopolskie","Rozdroże, Podwawelskie, Kraków, małopolskie","Rozdroże, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-334, Polska",50.0413672,19.9316964
"Komndosów, Ludwinów, Dębniki, Kraków, małopolskie","Komandosów, Kraków, małopolskie","Komandosów, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-334, Polska",50.0418812,19.9312845
"Komndosów, Ludwinów, Dębniki, Kraków, małopolskie","Komandosów, Kraków, małopolskie","Komandosów, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-334, Polska",50.0418812,19.9312845
"Komndosów, Ludwinów, Dębniki, Kraków, małopolskie","Komandosów, Kraków, małopolskie","Komandosów, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-334, Polska",50.0418812,19.9312845
"Komndosów, Ludwinów, Dębniki, Kraków, małopolskie","Komandosów, Kraków, małopolskie","Komandosów, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-334, Polska",50.0418812,19.9312845
"Azory, Azory, Prądnik Biały, Kraków, małopolskie","Azory, Azory, Prądnik Biały, Kraków, małopolskie","Azory, Wojciecha Weissa, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-339, Polska",50.0870919,19.909095
"Dunin-Wąsowicza, Krowodrza, Kraków, małopolskie","Dunin-Wąsowicza, Krowodrza, Kraków, małopolskie","Rotmistrza Zbigniewa Dunin-Wąsowicza, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-112, Polska",50.0567692,19.92248
"Na Polach, Bronowice, Kraków, małopolskie","Na Polach, Bronowice, Kraków, małopolskie","Na Polach, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-354, Polska",50.0969048,19.8761709
"Emaus 55A, Zwierzyniec, Zwierzyniec, Kraków, małopolskie","Emaus 55A, Zwierzyniec, Zwierzyniec, Kraków, małopolskie","Emaus, Zwierzyniec, Kraków, województwo małopolskie, 30-213, Polska",50.0606141,19.8984091
"Dworcowa, Bieżanów, Kraków, małopolskie","Dworcowa, Bieżanów, Kraków, małopolskie","Dworcowa, Kabel, Podgórze, Kraków, województwo małopolskie, 30-559, Polska",50.0343316,19.973753
"Kurczaba, Kraków, małopolskie","Kurczaba, Kraków, małopolskie","Jana Kurczaba, Nowy Prokocim, Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-868, Polska",50.0137338,20.0074091
"Pisarka, Czyżyny, Kraków, małopolskie","Pisarka, Czyżyny, Kraków, małopolskie","Majora Pilota Mariana Pisarka, Czyżyny, Kraków, województwo małopolskie, 31-872, Polska",50.0841302,20.0016071
"Chałupnika, Kraków, małopolskie","Chałupnika, Kraków, małopolskie","Ogrody Chałupnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",50.074736400000006,19.97454706330726
"Bratysławska, Kraków, małopolskie","Bratysławska, Kraków, małopolskie","Bratysławska, Krowodrza Górka, Prądnik Biały, Kraków, województwo małopolskie, 31-271, Polska",50.0839659,19.9335671
"Osiedle Bohaterów Września, Kraków, małopolskie","Osiedle Bohaterów Września, Kraków, małopolskie","Osiedle Bohaterów Września, Mistrzejowice, Kraków, województwo małopolskie, Polska",50.098804,20.009940791706967
"Jana Pawła II, Rakowice, Prądnik Czerwony, Kraków, małopolskie","Jana Pawła II, Rakowice, Prądnik Czerwony, Kraków, małopolskie","Aleja Jana Pawła II, Ugorek, Rakowice, Prądnik Czerwony, Kraków, województwo małopolskie, 31-446, Polska",50.0729408,19.9852689
"Józefitów, Nowa Wieś, Krowodrza, Kraków, małopolskie","Józefitów, Nowa Wieś, Krowodrza, Kraków, małopolskie","Józefitów, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",50.0705695,19.9237312
"Zofii Nałkowskiej, Olszyny, Dębniki, Kraków, małopolskie","Zofii Nałkowskiej, Olszyny, Dębniki, Kraków, małopolskie","Zofii Nałkowskiej, Dom Nad Łąkami, Olszyny, Dębniki, Kraków, województwo małopolskie, 30-399, Polska",49.977644,19.8776483
"Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie","Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie","Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-341, Polska",50.0960739,19.9016319
"Rydla 47, Bronowice Małe, Kraków, małopolskie","Rydla 47, Bronowice Małe, Kraków, małopolskie","47, Lucjana Rydla, Bronowice, Kraków, województwo małopolskie, 30-087, Polska",50.0799958,19.903663219936284
"Św. Sebastiana - okolice, Stradom, Stare Miasto, Kraków, małopolskie","Św. Sebastiana - okolice, Stradom, Stare Miasto, Kraków, małopolskie","Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212
"Aleja Kijowska, Krowodrza, Kraków, małopolskie","Aleja Kijowska, Krowodrza, Kraków, małopolskie","Aleja Kijowska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-081, Polska",50.0730961,19.9156382
"Borowego, Wola Justowska, Kraków, małopolskie","Borowego, Wola Justowska, Kraków, małopolskie","Piotra Borowego, Zwierzyniec, Kraków, województwo małopolskie, 30-214, Polska",50.0644927,19.890371
"Barbary 14, Bieżanów, Kraków, małopolskie","Barbary 14, Bieżanów, Kraków, małopolskie","14, Barbary, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-853, Polska",50.0162218,20.02255551591474
"Bułgarska, Ruczaj, Dębniki, Kraków, małopolskie","Bułgarska, Ruczaj, Dębniki, Kraków, małopolskie","Bułgarska, Osiedle Ruczaj-Zaborze, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-431, Polska",50.0269118,19.9177067
"Bolesława Wallek-Walewskiego, Bronowice, Bronowice, Kraków, małopolskie","Bolesława Wallek-Walewskiego, Bronowice, Bronowice, Kraków, małopolskie","Bolesława Wallek-Walewskiego, Bronowice, Kraków, województwo małopolskie, 30-091, Polska",50.079212,19.8974734
"Żwirowa, Prądnik Biały, Kraków, małopolskie","Żwirowa, Prądnik Biały, Kraków, małopolskie","Żwirowa, Prądnik Biały, Kraków, województwo małopolskie, 31-226, Polska",50.0989716,19.9275137
"Zagrodzkiego, Kraków, małopolskie","Zagrodzkiego, Kraków, małopolskie","Księdza Adolfa Zagrodzkiego, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-427, Polska",50.0123221,19.9108819
"Bochenka, Piaski Nowe, Kraków, małopolskie","Bochenka, Piaski Nowe, Kraków, małopolskie","Bochenka, Adama Bochenka, Podlesie, Piaski Wielkie, Podgórze Duchackie, Kraków, województwo małopolskie, 30-691, Polska",50.0130894,19.977710891141733
"Bieżanów, Bieżanów, Kraków, małopolskie","Bieżanów, Bieżanów, Kraków, małopolskie","Kraków Bieżanów, Stacyjna, Osiedle Kolejowe, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-851, Polska",50.0214997,20.0298488
"Kątowa 10, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie","Kątowa 10, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie","10, Kątowa, Przedmieście Warszawskie, Stare Miasto, Kraków, województwo małopolskie, 31-404, Polska",50.073999650000005,19.947375845797808
"Borkowska, Podgórze, Kraków, małopolskie","Borkowska, Podgórze, Kraków, małopolskie","Borkowska, Osiedle Za Fortem, Kliny, Swoszowice, Kraków, województwo małopolskie, 30-438, Polska",50.0040984,19.9058222
"Na Wierzchowinach, Wola Justowska, Zwierzyniec, Kraków, małopolskie","Na Wierzchowinach, Wola Justowska, Zwierzyniec, Kraków, małopolskie","Na Wierzchowinach, Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-222, Polska",50.0681438,19.8697521
"Magnolii, Dębniki, Kraków, małopolskie","Magnolii, Dębniki, Kraków, małopolskie","Magnolii, Zaborze, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-385, Polska",50.0229208,19.9136644
"Plac Bohaterów Getta, Stare Podgórze, Kraków, małopolskie","Plac Bohaterów Getta, Stare Podgórze, Kraków, małopolskie","Plac Bohaterów Getta, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-527, Polska",50.04652365,19.9542679
"Jana Janowskiego, Kliny, Swoszowice, Kraków, małopolskie","Jana Janowskiego, Kliny, Swoszowice, Kraków, małopolskie","Jana Janowskiego, Kliny Zacisze, Kliny, Swoszowice, Kraków, województwo małopolskie, 30-440, Polska",50.0062246,19.9126204
"osiedle Centrum A, Nowa Huta, Nowa Huta, Kraków, małopolskie","osiedle Centrum A, Nowa Huta, Nowa Huta, Kraków, małopolskie","Osiedle Centrum A, Nowa Huta, Kraków, województwo małopolskie, 31-923, Polska",50.0720051,20.0409261
"Buszka, Dzielnica VI Bronowice, Kraków, małopolskie","Buszka, Dzielnica VI Bronowice, Kraków, małopolskie","Jana Buszka, Małe Błonia, Krowodrza, Kraków, województwo małopolskie, 30-133, Polska",50.0683981,19.897333
"Obrońców Krzyża, Nowa Huta, Kraków, małopolskie","Obrońców Krzyża, Nowa Huta, Kraków, małopolskie","Obrońców Krzyża, Nowa Huta, Kraków, województwo małopolskie, 31-948, Polska",50.0819215,20.0327411
"Kazimierz, Kazimierz, Kraków, małopolskie","Kazimierz, Kazimierz, Kraków, małopolskie","Hotel Kazimierz II, Starowiślna, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-037, Polska",50.053039850000005,19.949474962312205
"Osiedle Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie","Osiedle Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie","Osiedle Bohaterów Września, Mistrzejowice, Kraków, województwo małopolskie, Polska",50.098804,20.009940791706967
"Pszenna, Podgórze Duchackie, Kraków, małopolskie","Pszenna, Podgórze Duchackie, Kraków, małopolskie","Pszenna, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-654, Polska",50.0217433,19.9551565
"Władysława Łokietka 282, Krowodrza, Kraków, małopolskie","Władysława Łokietka 282, Krowodrza, Kraków, małopolskie","Władysława Łokietka, Nowy Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-010, Polska",50.0773956,19.9298619
"Brązownicza, Krowodrza, Kraków, małopolskie","Brązownicza, Krowodrza, Kraków, małopolskie","Brązownicza, Małe Błonia, Krowodrza, Kraków, województwo małopolskie, 30-142, Polska",50.0689686,19.892385
"Nawojki, Czarna Wieś, Krowodrza, Kraków, małopolskie","Nawojki, Czarna Wieś, Krowodrza, Kraków, małopolskie","Nawojki, Cichy Kącik, Czarna Wieś, Krowodrza, Kraków, województwo małopolskie, 30-070, Polska",50.0698603,19.9049546
"Konecznego, Krowodrza, Kraków, małopolskie","Konecznego, Krowodrza, Kraków, małopolskie","Feliksa Konecznego, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 30-016, Polska",50.0842951,19.9419166
"Klemensiewicza - 15, Olsza, Prądnik Czerwony, Kraków, małopolskie","Klemensiewicza - 15, Olsza, Prądnik Czerwony, Kraków, małopolskie","Zenona Klemensiewicza, Rogatka Warszawska, Olsza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-482, Polska",50.0809595,19.9507548
"Rzepichy, Zwierzyniec, Kraków, małopolskie","Rzepichy, Zwierzyniec, Kraków, małopolskie","Rzepichy, Zakamycze, Zwierzyniec, Kraków, województwo małopolskie, 30-240, Polska",50.062516,19.8348066
"Bożego Ciała, Kazimierz, Stare Miasto, Kraków, małopolskie","Bożego Ciała, Kazimierz, Stare Miasto, Kraków, małopolskie","Bożego Ciała, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-062, Polska",50.0504267,19.9440193
"Lublańska 13, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","Lublańska 13, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","13, Lublańska, Prądnik Czerwony, Kraków, województwo małopolskie, 31-410, Polska",50.08551545,19.96243108152333
"Kasprowicza, Oficerskie, Kraków, małopolskie","Kasprowicza, Oficerskie, Kraków, małopolskie","Jana Kasprowicza, Osiedle Oficerskie, Grzegórzki, Kraków, województwo małopolskie, 31-523, Polska",50.0682802,19.9656763
"Nadwiślańskiej, Stare Podgórze, Podgórze, Kraków, małopolskie","Nadwiślańskiej, Stare Podgórze, Podgórze, Kraków, małopolskie","Nadwiślańska, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-527, Polska",50.0475831,19.9532146
"marsz. Józefa Piłsudskiego, Piasek, Stare Miasto, Kraków, małopolskie","marsz. Józefa Piłsudskiego, Piasek, Stare Miasto, Kraków, małopolskie","Marszałka Józefa Piłsudskiego, Nowy Świat, Stare Miasto, Kraków, województwo małopolskie, 31-110, Polska",50.0601187,19.9297815
"Barbary, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie","Barbary, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie","Barbary, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-857, Polska",50.0152637,20.0245991
"Pielęgniarek, Żabiniec, Kraków, małopolskie","Pielęgniarek, Żabiniec, Kraków, małopolskie","Pielęgniarek, Krowodrza Górka, Prądnik Biały, Kraków, województwo małopolskie, 31-201, Polska",50.0835066,19.9389089
"Federowicza, Ruczaj, Kraków, małopolskie","Federowicza, Ruczaj, Kraków, małopolskie","Jana Kantego Federowicza, Wodka, Skotniki, Dębniki, Kraków, województwo małopolskie, 30-369, Polska",50.0130679,19.8836852
"Bronowice Wielkie, Kraków, małopolskie","Bronowice Wielkie, Kraków, małopolskie","Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, Polska",50.0944444,19.8822222
"Chodkiewicza, Kazimierz, Kraków, małopolskie","Chodkiewicza, Kazimierz, Kraków, małopolskie","Jana Karola Chodkiewicza, Grzegórzki, Kraków, województwo małopolskie, 31-534, Polska",50.0562553,19.9538028
"Zbrojarzy, Ruczaj, Dębniki, Kraków, małopolskie","Zbrojarzy, Ruczaj, Dębniki, Kraków, małopolskie","Zbrojarzy, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-412, Polska",50.0232057,19.9218035
"Aleja Jana Pawła II, Czyżyny, Kraków, małopolskie","Aleja Jana Pawła II, Czyżyny, Kraków, małopolskie","Aleja Jana Pawła II, Czyżyny, Kraków, województwo małopolskie, 31-581, Polska",50.07387,20.012032
"Dworska, Ludwinów, Dębniki, Kraków, małopolskie","Dworska, Ludwinów, Dębniki, Kraków, małopolskie","Dworska, Osiedle Podwawelskie, Ludwinów, Dębniki, Kraków, województwo małopolskie, 30-312, Polska",50.0446491,19.9259657
"Zbrojarzy 105, Ruczaj, Dębniki, Kraków, małopolskie","Zbrojarzy 105, Ruczaj, Dębniki, Kraków, małopolskie","105, Zbrojarzy, Zaborze, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-412, Polska",50.0229786,19.919870330025127
"Kamieńskiego, Wola Duchacka, Kraków, małopolskie","Kamieńskiego, Wola Duchacka, Kraków, małopolskie","Generała Henryka Kamieńskiego, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-644, Polska",50.0283916,19.9546387
