url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nad-jeziorem/24770088.html","Mieszkanie, ul. Morcinka","Morcinka, Wzgórza Krzesławickie, Kraków, małopolskie",669 000 zł,"45,89 m²","14 578,34 zł/m²",2,3.0,3,2022,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24628147.html","Kawalerka, ul. Samozwaniec","Samozwaniec 33, Wzgórza Krzesławickie, Kraków, małopolskie",155 000 zł,"17,40 m²","8 908,05 zł/m²",suterena,2.0,1,-,-,wtórny,"udział ze wskazaniem, KW na budynku"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24845970.html",Mieszkanie Kraków,"Nowa Huta, Kraków, małopolskie",567 000 zł,"40,50 m²",14 000 zł/m²,3,4.0,2,1960,parking publiczny / na ulicy,wtórny,spółdzielcze własnościowe
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24822241.html","Mieszkanie, ul. Mitery","Mitery, Podgórze, Kraków, małopolskie",649 000 zł,"37,50 m²","17 306,67 zł/m²",1,1.0,2,1910,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24814086.html","Mieszkanie, ul. Komuny Paryskiej","Komuny Paryskiej, Kliny, Kraków, małopolskie",679 000 zł,"47,50 m²","14 294,74 zł/m²",1,3.0,2,2007,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24817521.html","Mieszkanie, ul. Radzikowskiego","Azory, Kraków, małopolskie",775 000 zł,"65,70 m²","11 796,04 zł/m²",1,4.0,3,1960,przynależne na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24862082.html","Kawalerka, ul. Meissnera","Meissnera, Śródmieście, Kraków, małopolskie",449 000 zł,22 m²,"20 409,09 zł/m²",4,8.0,1,1970,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24800480.html","Mieszkanie, ul. Nefrytowa","Nefrytowa, Złocień, Kraków, małopolskie",440 000 zł,"30,10 m²","14 617,94 zł/m²",parter,3.0,1,2001,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,do-odswiezenia,nad-rzeka/24832555.html","Apartament, ul. Bobrzyńskiego","Bobrzyńskiego 21, Ruczaj, Kraków, małopolskie",940 000 zł,62 m²,"15 161,29 zł/m²",parter,4.0,3,2008,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24837155.html","Mieszkanie, ul. Krowoderskich Zuchów","Krowoderskich Zuchów, Krowodrza Górka, Kraków, małopolskie",539 000 zł,30 m²,"17 966,67 zł/m²",6,10.0,1,1970,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,piaskowa-apartamenty/24818426.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Wielkie, ul. Piaskowa 43",,1 106 908 zł,"91,25 m²","12 130,50 zł/m²",oddana do użytku,,1,4,naziemne,"IV kwartał 2022, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24855121.html","Mieszkanie, Osiedle Albertyńskie","Osiedle Albertyńskie, Bieńczyce, Kraków, małopolskie",567 000 zł,"40,50 m²",14 000 zł/m²,3,4.0,2,1964,-,wtórny,spółdzielcze własnościowe
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24852806.html","Mieszkanie, Osiedle Tysiąclecia","Osiedle Tysiąclecia 8, Mistrzejowice, Kraków, małopolskie",699 000 zł,48 m²,"14 562,50 zł/m²",4,4.0,2,1969,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,deweloperski/24777360.html","Mieszkanie, ul. Lublańska","Lublańska, Prądnik Czerwony, Kraków, małopolskie",1 100 000 zł,80 m²,13 750 zł/m²,3,4.0,4,2023,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24845733.html","Mieszkanie, ul. Zyblikiewicza","Zyblikiewicza, Stare Miasto, Kraków, małopolskie",1 449 000 zł,"65,16 m²","22 237,57 zł/m²",parter,5.0,3,1927,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24844222.html","Mieszkanie, ul. Małysiaka","Małysiaka, Kliny, Kraków, małopolskie",830 000 zł,"60,56 m²","13 705,42 zł/m²",2,4.0,3,2021,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,lokietka-park-lane/24658539.html?2%2Cmieszkanie","Nowe mieszkanie Tonie, ul. Władysława Łokietka",,1 208 000 zł,"89,78 m²","13 455,11 zł/m²",październik 2025,,parter,4,garaż,październik 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24856128.html","Mieszkanie, Aleja Zygmunta Krasińskiego","Aleja Zygmunta Krasińskiego, Nowy Świat, Kraków, małopolskie",1 727 800 zł,"86,39 m²",20 000 zł/m²,parter,4.0,4,1932,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24758393.html",Apartament Kraków,"Wola Justowska, Kraków, małopolskie",2 385 000 zł,"146,69 m²","16 258,78 zł/m²",1,2.0,4,2019,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,lokietka-park-lane/24525785.html?2%2Cmieszkanie","Nowe mieszkanie Tonie, ul. Władysława Łokietka",,1 738 000 zł,"136,60 m²","12 723,28 zł/m²",październik 2025,,parter,4,garaż,październik 2025,pierwotny (oferta dewelopera)
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,sloneczne-ogrody-1/24399972.html?2%2Cmieszkanie",Nowe mieszkanie ul. Krzyszkowicka,,523 200 zł,48 m²,10 900 zł/m²,IV kwartał 2024,,1,3,naziemne,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,sloneczne-ogrody-1/24400889.html?2%2Cmieszkanie",Nowe mieszkanie ul. Krzyszkowicka,,497 200 zł,44 m²,11 300 zł/m²,IV kwartał 2024,,parter,2,naziemne,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,sloneczne-ogrody-1/24400885.html?2%2Cmieszkanie",Nowe mieszkanie ul. Krzyszkowicka,,497 200 zł,44 m²,11 300 zł/m²,IV kwartał 2024,,parter,2,naziemne,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,deweloperski/24851929.html","Mieszkanie, ul. Pachońskiego","Pachońskiego, Prądnik Biały, Kraków, małopolskie",789 134 zł,"60,64 m²","13 013,42 zł/m²",2,8.0,3,2025,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24851924.html","Mieszkanie, ul. Sławka","Sławka, Bonarka, Kraków, małopolskie",999 000 zł,"68,42 m²","14 600,99 zł/m²",4,8.0,4,2024,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/24827314.html","Mieszkanie, ul. Lipska","Lipska, Płaszów, Kraków, małopolskie",740 000 zł,52 m²,14 231 zł/m²,3,4.0,3,1998,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/24855375.html","Mieszkanie, ul. Szuwarowa","Szuwarowa, Ruczaj, Kraków, małopolskie",815 000 zł,59 m²,13 814 zł/m²,1,4.0,2,2009,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24837381.html","Mieszkanie, ul. Na Szaniec","Na Szaniec, Dąbie, Kraków, małopolskie",715 000 zł,42 m²,17 024 zł/m²,2,4.0,2,1970,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24815267.html","Mieszkanie, ul. Bochenka","Bochenka, Podgórze Duchackie, Kraków, małopolskie",629 000 zł,"35,74 m²","17 599,33 zł/m²",6,11.0,2,2011,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24815844.html",Mieszkanie,"Sołtysowska 11, Czyżyny, Kraków, małopolskie",979 000 zł,"58,74 m²","16 666,67 zł/m²",3,4.0,3,2012,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24661795.html",Mieszkanie,"Grzegórzecka 19, Grzegórzki, Kraków, małopolskie",1 695 000 zł,"113,05 m²","14 993,37 zł/m²",3,4.0,3,1915,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24861064.html","Mieszkanie, ul. Armii Krajowej","Armii Krajowej, Bronowice Małe, Kraków, małopolskie",599 000 zł,40 m²,14 975 zł/m²,4,4.0,2,1980,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,deweloperski/24846273.html","Mieszkanie, ul. Piltza","Piltza 26, Dzielnica VIII Dębniki, Kraków, małopolskie",832 950 zł,"61,70 m²",13 500 zł/m²,4,4.0,3,2024,w garażu podziemnym,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,wislane-klimaty/24818767.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68C",,693 081 zł,"43,59 m²",15 900 zł/m²,IV kwartał 2025,,parter,2,garaż,IV kwartał 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,wislane-klimaty/24818747.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68C",,822 285 zł,"60,91 m²",13 500 zł/m²,IV kwartał 2025,,2,4,garaż,IV kwartał 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24847791.html","Mieszkanie, ul. Skowronia","Skowronia, Wola Duchacka, Kraków, małopolskie",610 000 zł,"34,50 m²","17 681,16 zł/m²",parter,3.0,2,2014,-,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,wislane-klimaty/24818452.html?2%2Cmieszkanie","Nowe mieszkanie Płaszów, ul. Myśliwska 68C",,844 620 zł,"60,33 m²",14 000 zł/m²,IV kwartał 2025,,2,3,garaż,IV kwartał 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24830647.html","Mieszkanie, ul. Grażyny","Grażyny, Prądnik Biały, Kraków, małopolskie",1 035 000 zł,"59,28 m²","17 459,51 zł/m²",parter,4.0,3,2013,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu,przy-lesie/24832331.html","Mieszkanie, ul. Bronowicka","Bronowicka, Bronowice, Kraków, małopolskie",609 000 zł,44 m²,"13 840,91 zł/m²",9,10.0,3,1970,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24798230.html","Mieszkanie, ul. Rakowicka","Rakowicka, Oficerskie, Kraków, małopolskie",799 000 zł,"50,50 m²","15 821,78 zł/m²",-,,2,1932,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24837111.html","Apartament, ul. 28 Lipca 1943","28 Lipca 1943, Wola Justowska, Kraków, małopolskie",2 666 000 zł,"146,68 m²","18 175,62 zł/m²",2,2.0,3,2002,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,bochenka-vita/24346692.html?2%2Cmieszkanie","Nowe mieszkanie Piaski Nowe, ul. Bochenka",,,"63,14 m²",,IV kwartał 2024,,7,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,bochenka-vita/24705799.html?2%2Cmieszkanie","Nowe mieszkanie Piaski Nowe, ul. Bochenka",,,"28,76 m²",,IV kwartał 2024,,7,1,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,bochenka-vita/24346782.html?2%2Cmieszkanie","Nowe mieszkanie Piaski Nowe, ul. Bochenka",,,"68,58 m²",,IV kwartał 2024,,6,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24846792.html","Mieszkanie, Osiedle Albertyńskie","Osiedle Albertyńskie, Nowa Huta, Kraków, małopolskie",600 000 zł,"41,18 m²","14 570,18 zł/m²",3,4.0,2,1965,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
