url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24779595.html","Mieszkanie, ul. Żelechowskiego","Żelechowskiego, Bronowice, Kraków, małopolskie",889 000 zł,"51,70 m²","17 195,36 zł/m²",1,3.0,2,1980,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24767866.html","Mieszkanie, ul. Raciborska","Raciborska, Ruczaj, Kraków, małopolskie",618 000 zł,40 m²,15 450 zł/m²,2,3.0,2,2000,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24745285.html",Mieszkanie,"Felińskiego, Górka Narodowa, Kraków, małopolskie",899 000 zł,"74,17 m²","12 120,80 zł/m²",2,5.0,3,2003,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24787624.html",Mieszkanie Kraków,"Wzgórza Kzresławickie, Wzgórza Krzesławickie, Kraków, małopolskie",1 049 000 zł,157 m²,"6 681,53 zł/m²",1,2.0,5,2023,garaż w bryle budynku,pierwotny (zobacz inne nowe mieszkania w Krakowie),"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,deweloperski,przy-lesie/24660916.html","Apartament, ul. Przybyszewskiego","Przybyszewskiego 64d, Bronowice, Kraków, małopolskie",1 225 000 zł,"62,40 m²","19 631,41 zł/m²",7,9.0,3,2021,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/24672444.html",Mieszkanie,"Osiedle Kalinowe, Bieńczyce, Kraków, małopolskie",486 000 zł,"36,06 m²","13 477,54 zł/m²",4,10.0,2,1970,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24771570.html","Mieszkanie, ul. Wygoda","Wygoda, Stare Miasto, Kraków, małopolskie",1 200 000 zł,73 m²,"16 438,36 zł/m²",1,3.0,3,1972,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24502822.html",Apartament,"Hamernia, Wola Justowska, Kraków, małopolskie",1 481 000 zł,"84,63 m²","17 499,70 zł/m²",1,1.0,4,2024,garaż,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24720364.html",Mieszkanie Kraków,"Bieżanów, Kraków, małopolskie",460 000 zł,"37,29 m²","12 335,75 zł/m²",3,4.0,2,2024,tak,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24750722.html","Mieszkanie, ul. Jadźwingów","Jadźwingów, Mistrzejowice, Kraków, małopolskie",730 000 zł,57 m²,"12 807,02 zł/m²",4,4.0,3,1974,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24751023.html","Mieszkanie, ul. Sosnowiecka","Sosnowiecka, Prądnik Biały, Kraków, małopolskie",799 000 zł,"54,04 m²","14 785,34 zł/m²",2,3.0,3,2014,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24740801.html","Mieszkanie, Osiedle Centrum B","Osiedle Centrum B, Centrum B, Kraków, małopolskie",515 000 zł,"37,06 m²","13 896,38 zł/m²",5,7.0,2,1957,parking publiczny / na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,piaskowa-apartamenty/24192767.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Wielkie, ul. Piaskowa 43",,1 106 908 zł,"91,48 m²",12 100 zł/m²,oddana do użytku,,1,4,naziemne,"IV kwartał 2022, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24768108.html","Apartament, ul. Pachońskiego","Pachońskiego, Prądnik Biały, Kraków, małopolskie",775 000 zł,"48,62 m²","15 939,94 zł/m²",1,7.0,2,2018,w garażu podziemnym,wtórny,
