url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/2-pokoje-garaz-balkon-stare-miasto-ID4lP0m,"2 pokoje, garaż, balkon, Stare Miasto","ul. Masarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",1 120 000 zł,44 m²,25 455 zł/m²,4/5,2,2016,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,500 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,cegła
https://www.otodom.pl/pl/oferta/krakow-grzegorzki-2-pokoje-0-prowizji-ID4o9ei,"Kraków-Grzegórzki, 2 pokoje, 0 % Prowizji !!!","ul. Mogilska, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie",991 783 zł,"33,17 m²",29 900 zł/m²,2/4,2,2024,garaż/miejsce parkingowe,wtórny,,do wykończenia,,,biuro nieruchomości,tak,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/emaus-garden-apartament-b2-a10-ID4k3oj,Emaus Garden | apartament B2_A10,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",Zapytaj o cenę,"56,43 m²",,2/3,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-z-balkonem-ul-wenedy-ID4o7XL,"Trzypokojowe mieszkanie z balkonem, ul. Wenedy","ul. Lilli Wenedy, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",834 000 zł,70 m²,11 914 zł/m²,,3,1970,,wtórny,,do zamieszkania,,,biuro nieruchomości,tak,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/2-pok-z-duzym-ogrodkiem-m1-aleja-pokoju-bez-pcc-ID4iE4k,"2-pok. z dużym ogródkiem/M1, Aleja Pokoju/Bez Pcc","al. Pokoju, Łęg, Czyżyny, Kraków, małopolskie",686 983 zł,"32,87 m²",20 900 zł/m²,parter/5,2,2021,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,380 zł,miejskie,biuro nieruchomości,tak,ogródek,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-z-duzym-balkonem-i-tarasem-ID4iYdt,Trzypokojowe mieszkanie z dużym balkonem i tarasem,"Ludwinów, Dębniki, Kraków, małopolskie",2 290 281 zł,"119,91 m²",19 100 zł/m²,3/5,5,2022,garaż/miejsce parkingowe,pierwotny,pełna własność,,,,biuro nieruchomości,nie,"balkon, taras",brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/przestronne-ustawne-wszedzie-blisko-gotowe-ID4jeOG,"Przestronne, Ustawne, Wszędzie blisko, Gotowe","ul. Lipska, Płaszów, Podgórze, Kraków, małopolskie",994 949 zł,"69,92 m²",14 230 zł/m²,1/5,3,2022,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,nie,"ogródek, taras",apartamentowiec,cegła
https://www.otodom.pl/pl/oferta/piekny-widok-67-5-m2-ul-celna-ID4jzQ0,"Piękny widok | 67,5 m2 | ul. Celna |","ul. Celna, Stare Podgórze, Podgórze, Kraków, małopolskie",1 475 000 zł,"67,5 m²",21 852 zł/m²,4/5,2,2008,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,980 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/2-pok-w-wysokim-standardzie-bez-pcc-lwowska-ID4i6Rr,"2-pok. w wysokim standardzie, Bez Pcc/Lwowska","ul. Lwowska, Stare Podgórze, Podgórze, Kraków, małopolskie",847 455 zł,"34,59 m²",24 500 zł/m²,4/5,2,2022,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,tak,,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-ID4oKSA,mieszkanie z ogródkiem,"ul. Grzegorza Korzeniaka, Olszanica, Zwierzyniec, Kraków, małopolskie",1 225 000 zł,"103,82 m²",11 799 zł/m²,parter/3,6,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,gazowe,deweloper,nie,"balkon, ogródek",szeregowiec,cegła
https://www.otodom.pl/pl/oferta/emaus-garden-apartament-b6-a1-ID4k3uX,Emaus Garden | apartament B6_A1,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",Zapytaj o cenę,"67,9 m²",,parter/1,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,"ogródek, taras",,
