url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/kameralna-inwestycja-biezanow-ID4nOL4,kameralna inwestycja Bieżanów,"ul. Mała Góra, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",865 000 zł,"85,22 m²",10 150 zł/m²,parter/2,4,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,inne,biuro nieruchomości,nie,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/nowe-3-pok-dla-rodziny-nowa-huta-ID4oLVQ,"Nowe, 3 pok. dla rodziny/Nowa Huta","Ruszcza, Nowa Huta, Kraków, małopolskie",566 150 zł,"43,55 m²",13 000 zł/m²,3/3,3,2025,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/apartament-71m2-borek-falecki-krakow-ID4oMUI,Apartament 71m2 Borek Fałecki/Kraków.,"ul. Zdunów, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",999 000 zł,"70,95 m²",14 080 zł/m²,4/6,3,2022,,pierwotny,pełna własność,do zamieszkania,,inne,biuro nieruchomości,tak,balkon,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/bezprowizyjnie-duzy-taras-12m-i-balkon-ID4oIub,Bezprowizyjnie- Duży Taras 12m i Balkon,"ul. Zygmuntowska, Azory, Prądnik Biały, Kraków, małopolskie",1 089 000 zł,"73,3 m²",14 857 zł/m²,2/3,4,2023,garaż/miejsce parkingowe,pierwotny,,,,,biuro nieruchomości,nie,"balkon, taras",brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/nowe-m3-na-start-nowa-huta-ID4oLVP,"Nowe, M3 na start! Nowa Huta","Ruszcza, Nowa Huta, Kraków, małopolskie",558 375 zł,"44,67 m²",12 500 zł/m²,2/3,3,2025,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/krakow-stare-miasto-216-12-m2-2-lokale-ID4nXZB,"Kraków/ Stare Miasto/ 216,12 m2/ 2 lokale","Stare Miasto, Stare Miasto, Kraków, małopolskie",3 400 000 zł,"206,12 m²",16 495 zł/m²,parter,5,1892,,wtórny,pełna własność,,,,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/bagry-park-rodzinne-dwa-pokoje-z-dwoma-tarasami-ID4ouqF,Bagry Park - rodzinne dwa pokoje z dwoma tarasami,"ul. Bagrowa, Płaszów, Podgórze, Kraków, małopolskie",775 000 zł,"45,22 m²",17 138 zł/m²,4/4,2,2016,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,540 zł,miejskie,biuro nieruchomości,tak,"balkon, taras",blok,brak informacji
https://www.otodom.pl/pl/oferta/piasta-towers-mieszkanie-3-pok-86-5-ID4nGWX,Piasta Towers | mieszkanie 3-pok. | 86_5,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",922 661 zł,"86,23 m²",10 700 zł/m²,1/8,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,,,
https://www.otodom.pl/pl/oferta/apartamenty-cieszynska-9-mieszkanie-c-25-ID4iEU7,Apartamenty Cieszyńska 9 | mieszkanie C-25,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie",890 496 zł,"46,38 m²",19 200 zł/m²,1/6,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,miejskie,,,balkon,,
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-mistrzejowicach-ID4oMda,Mieszkanie 3 pokojowe na Mistrzejowicach,"osiedle Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",749 000 zł,55 m²,13 618 zł/m²,4/4,3,1974,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,nie,balkon,blok,brak informacji
