url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24837048.html","Mieszkanie, ul. Lea","Lea, Krowodrza, Kraków, małopolskie",1 790 000 zł,"101,60 m²","17 618,11 zł/m²",2,4,3,1935,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24873701.html","Mieszkanie, ul. Bosaków","Bosaków, Grzegórzki, Kraków, małopolskie",599 000 zł,"30,24 m²","19 808,20 zł/m²",5,5,1,2009,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/24862012.html","Mieszkanie, Osiedle Kazimierzowskie","Osiedle Kazimierzowskie, Bieńczyce, Kraków, małopolskie",480 000 zł,"35,50 m²",13 521 zł/m²,4,4,2,1969,przynależne na ulicy,wtórny,"inna, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24794600.html","Mieszkanie, ul. Banacha","Banacha, Górka Narodowa, Kraków, małopolskie",886 000 zł,"55,42 m²","15 987,01 zł/m²",1,5,3,2018,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24850405.html","Mieszkanie, ul. Zawodzie","Zawodzie, Prądnik Biały, Kraków, małopolskie",689 000 zł,62 m²,11 113 zł/m²,2,10,2,-,przynależne na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24750722.html","Mieszkanie, Osiedle Piastów","Osiedle Piastów, Mistrzejowice, Kraków, małopolskie",730 000 zł,57 m²,"12 807,02 zł/m²",4,4,3,1974,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24801811.html",Mieszkanie,"Fieldorfa-Nila, Łęg, Kraków, małopolskie",860 000 zł,"59,86 m²",14 367 zł/m²,3,8,4,1990,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24834776.html","Mieszkanie, ul. Banacha","Banacha, Górka Narodowa, Kraków, małopolskie",635 000 zł,"36,39 m²","17 449,85 zł/m²",3,5,2,2019,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24846792.html",Mieszkanie,"Osiedle Albertyńskie, Nowa Huta, Kraków, małopolskie",600 000 zł,"41,18 m²","14 570,18 zł/m²",3,4,2,1965,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24795920.html","Mieszkanie, ul. Felińskiego","Felińskiego, Prądnik Biały, Kraków, małopolskie",689 000 zł,45 m²,"15 311,11 zł/m²",2,4,2,2012,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24646046.html","Mieszkanie, ul. Sławkowska","Sławkowska 19, Stare Miasto, Kraków, małopolskie",2 799 920 zł,80 m²,34 999 zł/m²,1,3,3,1800,możliwość wykupienia,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24883412.html","Mieszkanie, ul. Celarowska","Celarowska, Olsza, Kraków, małopolskie",787 000 zł,"49,76 m²","15 815,92 zł/m²",3,4,3,1968,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24880560.html","Mieszkanie, ul. Siemaszki","Siemaszki, Krowodrza Górka, Kraków, małopolskie",667 000 zł,"44,61 m²","14 951,80 zł/m²",3,10,3,1966,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24870962.html","Mieszkanie, ul. Heleny","Heleny, Bieżanów, Kraków, małopolskie",730 000 zł,64 m²,"11 406,25 zł/m²",1,10,4,1960,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24817271.html","Mieszkanie, ul. Ogórkowa","Ogórkowa, Bieżanów, Kraków, małopolskie",623 000 zł,"43,40 m²","14 354,84 zł/m²",2,2,2,2011,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24758393.html",Apartament Kraków,"Wola Justowska, Kraków, małopolskie",2 385 000 zł,"146,69 m²","16 258,78 zł/m²",1,2,4,2019,przynależne na terenie ogrodzonym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24558915.html","Mieszkanie, ul. Bojki","Bojki, Kraków, małopolskie",749 000 zł,"50,10 m²","14 950,10 zł/m²",9,10,2,1991,parking publiczny / na ulicy,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24856128.html","Mieszkanie, Aleja Zygmunta Krasińskiego","Aleja Zygmunta Krasińskiego, Nowy Świat, Kraków, małopolskie",1 727 800 zł,"86,39 m²",20 000 zł/m²,parter,4,4,1932,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24804937.html","Mieszkanie, ul. Bobrzyńskiego","Bobrzyńskiego, Europejskie, Kraków, małopolskie",699 000 zł,"46,28 m²","15 103,72 zł/m²",1,7,2,2007,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24816272.html","Mieszkanie, ul. Narutowicza","Narutowicza, Prądnik Biały, Kraków, małopolskie",775 000 zł,"57,50 m²","13 478,26 zł/m²",2,4,2,1980,-,wtórny,
