url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/przestronne-m2-z-ogrodkiem-blisko-ronda-matecznego-ID4mDWh,"Przestronne M2 z ogródkiem,Blisko Ronda Matecznego","ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie",783 993 zł,"57,39 m²",13 661 zł/m²,parter/5,2,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,ogródek,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-w-mistrzejowicach-ID4mVjq,Mieszkanie w Mistrzejowicach,"ul. Teodora Parnickiego, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",1 100 000 zł,79 m²,13 924 zł/m²,3/3,3,2010,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/3-pokoje-z-ustawnym-salonem-dobra-komunikacja-ID4juOH,3 pokoje z ustawnym salonem | Dobra komunikacja,"ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie",994 949 zł,"69,87 m²",14 240 zł/m²,5/5,3,2022,garaż/miejsce parkingowe,pierwotny,pełna własność,,,miejskie,biuro nieruchomości,tak,"balkon, ogródek",blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszaknie-w-centrum-ogrodek-ID4mVFZ,mieszaknie w centrum+ ogródek,"ul. Rydlówka, Bronowice Małe, Bronowice, Kraków, małopolskie",599 000 zł,"35,77 m²",16 746 zł/m²,parter/5,2,2023,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,,blok,brak informacji
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-balkon-ID4maHj,3-pokojowe mieszkanie 65m2 + balkon,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",Zapytaj o cenę,"65,56 m²",,1/5,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/apartamenty-cieszynska-9-mieszkanie-b-52-ID4iESc,Apartamenty Cieszyńska 9 | mieszkanie B-52,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie",1 027 752 zł,"50,38 m²",20 400 zł/m²,5/6,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,miejskie,,,balkon,,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-bezposrednio-ID4mYto,3-pokojowe mieszkanie 54m2 + balkon Bezpośrednio,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",Zapytaj o cenę,"54,2 m²",,5/5,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/biezanow-prokocim-braci-czeczow-3pok-eng-ID4o9kn,Bieżanów-Prokocim|Braci Czeczów|3pok|Eng|,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",630 000 zł,"54,45 m²",11 570 zł/m²,1/3,3,brak informacji,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,nie,balkon,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/71-7-m2-srodmiescie-kamienica-prowizja-0-ID4o9l3,"| 71,7 m2 | Śródmieście | Kamienica | Prowizja 0%","ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",731 157 zł,"71,65 m²",10 205 zł/m²,3/3,2,1890,,wtórny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/2-pietrowe-mieszkanie-80m2-krowodrza-ID4o9Jw,2 piętrowe Mieszkanie | 80m2 | Krowodrza,"ul. Józefa Friedleina, Krowodrza, Krowodrza, Kraków, małopolskie",1 550 000 zł,80 m²,19 375 zł/m²,parter/2,3,brak informacji,,wtórny,pełna własność,do zamieszkania,300 zł,gazowe,biuro nieruchomości,nie,"balkon, ogródek",blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-77m2-ogrodek-24m2-blisko-blon-ID4o9uo,"Mieszkanie 77m2 + Ogródek 24m2, Blisko Błoń","ul. Stanisława Przybyszewskiego, Bronowice, Bronowice, Kraków, małopolskie",1 348 885 zł,"77,3 m²",17 450 zł/m²,parter/3,3,2023,,pierwotny,,,,miejskie,biuro nieruchomości,tak,ogródek,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-dwustronne-bk-2-obok-bonarki-ID4o2bS,"Mieszkanie dwustronne, Bk 2%, Obok Bonarki","ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",652 691 zł,"36,5 m²",17 882 zł/m²,8/8,2,2023,,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/inwestycyjne-bez-pcc-nowa-cena-zablocie-ID4nUJi,Inwestycyjne bez PCC. Nowa cena! Zabłocie,"ul. Zabłocie, Zabłocie, Podgórze, Kraków, małopolskie",549 000 zł,29 m²,18 931 zł/m²,5/5,2,2022,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,250 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-69m2-nowa-huta-ID4obb3,3 pok. mieszkanie 69m2 | Nowa Huta,"os. Zielone, Nowa Huta, Nowa Huta, Kraków, małopolskie",750 000 zł,69 m²,10 870 zł/m²,1/3,3,1953,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,600 zł,miejskie,biuro nieruchomości,nie,,blok,cegła
https://www.otodom.pl/pl/oferta/ok-lasu-borkow-piekne-duze-mieszkanie-2010r-ID4nbkX,"Ok. Lasu Borkow. piękne, duże mieszkanie, 2010r.","ul. Gwieździsta, Ruczaj, Dębniki, Kraków, małopolskie",950 000 zł,70 m²,13 571 zł/m²,,3,2010,,wtórny,pełna własność,do zamieszkania,450 zł,gazowe,biuro nieruchomości,nie,,blok,brak informacji
https://www.otodom.pl/pl/oferta/wysoki-standard-rezerwacja-ID4obFn,Wysoki Standard | Rezerwacja,"ul. Zygmunta Miłkowskiego 5, Ruczaj, Dębniki, Kraków, małopolskie",655 900 zł,"38,65 m²",16 970 zł/m²,2/5,1,2010,,wtórny,pełna własność,do zamieszkania,600 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,silikat
https://www.otodom.pl/pl/oferta/apartamenty-cieszynska-9-mieszkanie-c-36-ID4iEUv,Apartamenty Cieszyńska 9 | mieszkanie C-36,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie",1 122 462 zł,"56,69 m²",19 800 zł/m²,2/6,3,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,miejskie,,,balkon,,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-bez-prowizji-ID4llwg,4-pokojowe mieszkanie 87m2 + balkon Bez Prowizji,"ul. Grzegórzecka 77, Grzegórzki, Grzegórzki, Kraków, małopolskie",Zapytaj o cenę,"87,95 m²",,2/7,4,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/pieciopokojowe-116m2-bez-2-pcc-ID4i0tP,Pięciopokojowe 116m2 bez 2% Pcc,"ul. Miarowa, Swoszowice, Swoszowice, Kraków, małopolskie",1 300 000 zł,116 m²,11 207 zł/m²,,5,2020,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,gazowe,biuro nieruchomości,nie,taras,blok,brak informacji
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-ogrodem-bronowice-ID4hUVl,3-pokojowe mieszkanie z ogrodem - Bronowice!,"Las Wolski, Zwierzyniec, Kraków, małopolskie",894 000 zł,"51,97 m²",17 202 zł/m²,parter/2,3,2023,garaż/miejsce parkingowe,pierwotny,,do zamieszkania,,gazowe,biuro nieruchomości,nie,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/widokowe-3-pokojowe-mieszkanie-na-placu-wolnica-ID4ibzU,"Widokowe, 3-pokojowe mieszkanie na Placu Wolnica","plac Wolnica, Kazimierz, Stare Miasto, Kraków, małopolskie",1 100 000 zł,60 m²,18 333 zł/m²,3/4,3,1900,,wtórny,pełna własność,do zamieszkania,440 zł,elektryczne,biuro nieruchomości,nie,,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-kameralny-budynek-ID4i8JP,Mieszkanie dla rodziny / kameralny budynek,"ul. Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",1 599 000 zł,"133,88 m²",11 944 zł/m²,parter/3,5,2010,,wtórny,,do zamieszkania,1 111 zł,miejskie,biuro nieruchomości,nie,"balkon, taras",blok,pustak
https://www.otodom.pl/pl/oferta/przytulne-trzypokojowe-mieszkanie-na-poddaszu-ID4ixst,Przytulne trzypokojowe mieszkanie na poddaszu,"ul. Mieczysława Karłowicza, Nowa Wieś, Krowodrza, Kraków, małopolskie",550 000 zł,54 m²,10 185 zł/m²,3/3,3,1870,,wtórny,udział,do zamieszkania,,elektryczne,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/wybickiego-poddasze-do-adaptacji-ID4iEdx,"Wybickiego, poddasze do adaptacji","ul. Józefa Wybickiego, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie",570 000 zł,88 m²,6 477 zł/m²,2/2,2,1998,,wtórny,,do remontu,,gazowe,biuro nieruchomości,nie,,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/pradnik-bialy-apartament-dwupoziomowy-5-pokoi-ID4iLbF,Prądnik Biały Apartament Dwupoziomowy 5 Pokoi,"Górka Narodowa, Prądnik Biały, Kraków, małopolskie",1 950 000 zł,132 m²,14 773 zł/m²,2/3,5,2007,garaż/miejsce parkingowe,wtórny,,,720 zł,,biuro nieruchomości,nie,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-loggia-bezposrednio-ID4iWs6,2-pokojowe mieszkanie 50m2 + loggia Bezpośrednio,"Wizjonerów, Bronowice Małe, Bronowice, Kraków, małopolskie",Zapytaj o cenę,"50,79 m²",,3/3,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,,,
https://www.otodom.pl/pl/oferta/apartament-dla-koneserow-u-stop-wawelu-ID4jlJj,Apartament dla koneserów!! U stóp Wawelu!,"ul. Sukiennicza, Stradom, Stare Miasto, Kraków, małopolskie",2 492 000 zł,56 m²,44 500 zł/m²,3/5,2,2015,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,,gazowe,biuro nieruchomości,tak,balkon,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/urzadzone-3-pok-mieszkanie-komandosow-ID4pq5j,"Urządzone, 3 pok mieszkanie, Komandosów!","ul. Komandosów, Ludwinów, Dębniki, Kraków, małopolskie",825 000 zł,"49,6 m²",16 633 zł/m²,1/4,3,1972,,wtórny,,,,miejskie,biuro nieruchomości,nie,,blok,brak informacji
https://www.otodom.pl/pl/oferta/komfortowe-48m2-2pok-balkon-nowe-budownictwo-ID4pq66,"Komfortowe 48m2 2pok. + balkon, nowe budownictwo","ul. Bociana, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",739 000 zł,48 m²,15 396 zł/m²,2/5,2,2017,,wtórny,pełna własność,do zamieszkania,630 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,cegła
https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-przy-imbramowskiej-58-m2-ID4pq64,"3 pokoje z balkonem przy Imbramowskiej, 58 m2","ul. Imbramowska, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",780 000 zł,58 m²,13 448 zł/m²,8/10,3,1981,,wtórny,pełna własność,,600 zł,miejskie,biuro nieruchomości,tak,balkon,blok,wielka płyta
https://www.otodom.pl/pl/oferta/2pok-36-m2-balkon-podgorze-duchackie-ul-bochenka-2-ID4pq6A,2pok/36 m2/balkon/Podgórze Duchackie/ul.Bochenka/2,"ul. Adama Bochenka, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",599 000 zł,36 m²,16 639 zł/m²,6/10,2,2011,,wtórny,pełna własność,,450 zł,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/3-pok-56-m2-balkon-do-wejscia-prokocim-ul-scieg-ID4pq83,3 pok /56 m2/balkon/do wejścia /Prokocim /ul.Ścieg,"ul. ks. Piotra Ściegiennego, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",630 000 zł,56 m²,11 250 zł/m²,1/10,3,brak informacji,,wtórny,pełna własność,,,miejskie,biuro nieruchomości,tak,balkon,blok,wielka płyta
https://www.otodom.pl/pl/oferta/2-pokojowe-z-osobna-jasna-kuchnia-grzegorzecka-ID4pq8k,2 pokojowe z osobną jasną kuchnia Grzegórzecka,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie",850 000 zł,"41,5 m²",20 482 zł/m²,parter/7,2,2014,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,tak,taras,blok,pustak
https://www.otodom.pl/pl/oferta/2-pokoje-duzy-balkon-fajny-dom-ID4p6j3,2 Pokoje | Duży Balkon | Fajny Dom,"ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie",739 000 zł,"47,96 m²",15 409 zł/m²,3/5,2,2015,,wtórny,pełna własność,do zamieszkania,700 zł,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/dom-z-ogrodkiem-dwa-m-postojowe-gotowe-ID4pq9i,Dom z ogródkiem | Dwa m. postojowe | gotowe,"Prądnik Biały, Prądnik Biały, Kraków, małopolskie",759 000 zł,"76,7 m²",9 896 zł/m²,,4,2023,garaż/miejsce parkingowe,pierwotny,,,,gazowe,biuro nieruchomości,nie,,brak informacji,pustak
https://www.otodom.pl/pl/oferta/2-pokoje-nowa-inwestycja-promocyjna-cena-ID4pq8p,2 pokoje | Nowa Inwestycja | Promocyjna cena,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",439 900 zł,"37,5 m²",11 731 zł/m²,1/4,2,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,250 zł,,biuro nieruchomości,tak,"balkon, taras",blok,pustak
https://www.otodom.pl/pl/oferta/3-pokoje-2-balkony-klima-fajny-dom-ID4pqar,3 Pokoje | 2 balkony | Klima | Fajny Dom,"ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie",868 000 zł,56 m²,15 500 zł/m²,6/6,3.0,2015,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,720 zł,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/2-kawalerki-kampus-uj-gotowe-umeblowane-ID4pqbl,"2 kawalerki, Kampus Uj, gotowe, umeblowane","ul. Ruczaj, Ruczaj, Dębniki, Kraków, małopolskie",720 000 zł,"49,49 m²",14 548 zł/m²,parter/3,2,2009,,wtórny,pełna własność,,450 zł,,biuro nieruchomości,nie,balkon,blok,brak informacji
