url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/4-pokojowe-72-5m-grzegorzki-srodmiescie-mogilska-ID4pcXu,"4 pokojowe 72,5m Grzegórzki, Śródmieście, Mogilska","Grzegórzki, Grzegórzki, Kraków, małopolskie",1 090 000 zł,"72,55 m²",15 024 zł/m²,4/4,4,1993,,wtórny,pełna własność,do zamieszkania,1 200 zł,miejskie,biuro nieruchomości,nie,balkon,blok,cegła
https://www.otodom.pl/pl/oferta/luksusowy-apartament-ul-koletek-ID4pbPX,Luksusowy apartament! ul. Koletek!,"ul. Smocza, Stradom, Stare Miasto, Kraków, małopolskie",4 020 000 zł,123 m²,32 683 zł/m²,4/4,4,1900,,wtórny,,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,kamienica,cegła
https://www.otodom.pl/pl/oferta/stojalowskiego-4-pokoje-79m2-iv-pietro-ID4pZxh,"Stojałowskiego, 4 pokoje, 79m2, IV pietro","ul. Stanisława Stojałowskiego 37, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",959 000 zł,79 m²,12 139 zł/m²,4/4,4,1985,,wtórny,pełna własność,do zamieszkania,1 100 zł,miejskie,prywatny,nie,"balkon, taras",blok,wielka płyta
https://www.otodom.pl/pl/oferta/mieszkanie-29m2-nowa-inwestycja-stare-podgorze-ID4q5Xx,Mieszkanie 29m2 | Nowa Inwestycja | Stare Podgórze,"Stare Podgórze, Podgórze, Kraków, małopolskie",630 000 zł,29 m²,21 724 zł/m²,parter,1,2026,,pierwotny,,do wykończenia,,,biuro nieruchomości,nie,,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/lea-2-pokojowe-z-duzym-garazem-ID4q5ZO,Lea - 2 pokojowe z dużym garażem -,"ul. Juliusza Lea, Bronowice, Bronowice, Kraków, małopolskie",750 000 zł,"45,5 m²",16 484 zł/m²,parter/2,2,2004,garaż/miejsce parkingowe,wtórny,pełna własność,,,,biuro nieruchomości,nie,,blok,cegła
https://www.otodom.pl/pl/oferta/doskonala-komunikacja-centrum-ID4q60N,"Doskonała komunikacja, centrum","Dąbie, Grzegórzki, Kraków, małopolskie",991 783 zł,"33,17 m²",29 900 zł/m²,2/4,2,2024,garaż/miejsce parkingowe,wtórny,,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/bienczyce-os-na-lotnisku-ID4q64q,Bieńczyce - Os. Na Lotnisku,"Bieńczyce, Bieńczyce, Kraków, małopolskie",799 999 zł,50 m²,16 000 zł/m²,7/10,3,brak informacji,,wtórny,,do zamieszkania,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/bezposrednio-apartament-premium-plac-wolnica-ID4q62F,Bezpośrednio- apartament premium Plac Wolnica,"Kazimierz, Stare Miasto, Kraków, małopolskie",1 100 000 zł,"44,3 m²",24 831 zł/m²,1/4,2,brak informacji,,wtórny,pełna własność,do zamieszkania,310 zł,kotłownia,prywatny,tak,,kamienica,cegła
https://www.otodom.pl/pl/oferta/2-pokoje-i-balkon-i-oddane-do-uzytku-ID4q668,2 pokoje I Balkon I oddane do użytku,"Bronowice, Bronowice, Kraków, małopolskie",794 022 zł,"44,86 m²",17 700 zł/m²,1/2,2,2023,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,,biuro nieruchomości,nie,,apartamentowiec,inny
https://www.otodom.pl/pl/oferta/2-pokoje-i-na-blonie-i-oddane-do-uzytku-ID4q669,2 pokoje I Na Błonie I oddane do użytku,"Bronowice, Bronowice, Kraków, małopolskie",709 920 zł,"41,76 m²",17 000 zł/m²,1/2,2,2023,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,,biuro nieruchomości,nie,,apartamentowiec,inny
