url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24607848.html","Mieszkanie, ul. Racławicka","Racławicka, Krowodrza, Kraków, małopolskie",740 250 zł,"49,35 m²",15 000 zł/m²,6,10.0,2,1950,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24715229.html","Apartament, ul. Lublańska","Lublańska 13, Prądnik Czerwony, Kraków, małopolskie",1 065 000 zł,60 m²,17 750 zł/m²,3,4.0,3.0,2023,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24789219.html","Mieszkanie, Osiedle Tysiąclecia","Osiedle Tysiąclecia, Mistrzejowice, Kraków, małopolskie",539 000 zł,"33,80 m²","15 946,75 zł/m²",3,4.0,2,1970,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24774642.html","Mieszkanie, ul. Bojki","Bojki, Kurdwanów, Kraków, małopolskie",635 000 zł,50 m²,12 700 zł/m²,4,4.0,2,1985,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24748051.html","Mieszkanie, Osiedle Bohaterów Września","Osiedle Bohaterów Września, Mistrzejowice, Kraków, małopolskie",860 000 zł,"64,09 m²","13 418,63 zł/m²",3,6.0,3,1983,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24719914.html","Mieszkanie, ul. Zawodzie","Zawodzie, Prądnik Biały, Kraków, małopolskie",699 000 zł,62 m²,11 274 zł/m²,2,10.0,2,-,przynależne na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24777722.html","Mieszkanie, ul. Beskidzka","Beskidzka, Wola Duchacka, Kraków, małopolskie",860 000 zł,62 m²,"13 870,97 zł/m²",4,10.0,3,1983,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/24693567.html","Mieszkanie, ul. Cieplińskiego","Cieplińskiego, Olsza, Kraków, małopolskie",710 000 zł,"46,59 m²","15 239,32 zł/m²",2,10.0,3,1970,przynależne na ulicy,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24713802.html","Apartament, ul. Zwierzyniecka","Zwierzyniecka, Stare Miasto, Kraków, małopolskie",1 525 000 zł,"58,99 m²","25 851,84 zł/m²",1,6.0,3,2007,w garażu podziemnym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,deweloperski,przy-lesie/24660916.html","Apartament, ul. Przybyszewskiego","Przybyszewskiego 64d, Bronowice, Kraków, małopolskie",1 225 000 zł,"62,40 m²","19 631,41 zł/m²",7,9.0,3.0,2021,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,magnoliowa-polana/24733465.html?2%2Cmieszkanie",Nowe mieszkanie ul. Magnoliowa,,,"57,83 m²",,wrzesień 2024,,1,3,-,dostępne,
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,magnoliowa-polana/24167885.html?2%2Cmieszkanie",Nowe mieszkanie ul. Magnoliowa,,,"57,83 m²",,wrzesień 2024,,1,3,naziemne,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,nowe-wykonczone/24724213.html",Apartament Kraków,"Kraków, małopolskie",699 000 zł,105 m²,"6 657,14 zł/m²",1,1.0,4,2023,przynależne na terenie ogrodzonym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24758393.html",Apartament Kraków,"Wola Justowska, Kraków, małopolskie",2 385 000 zł,"146,69 m²","16 258,78 zł/m²",1,2.0,4,2019,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24646046.html","Mieszkanie, ul. Sławkowska","Sławkowska 19, Stare Miasto, Kraków, małopolskie",2 799 920 zł,80 m²,34 999 zł/m²,1,3.0,3,1800,możliwość wykupienia,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24754743.html","Mieszkanie, ul. Okólna","Okólna, Wola Duchacka, Kraków, małopolskie",520 000 zł,37 m²,"14 054,05 zł/m²",1,4.0,2,1970,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24759338.html","Mieszkanie, ul. Domagały","Domagały, Kraków, małopolskie",699 000 zł,"47,24 m²","14 796,78 zł/m²",4,4.0,3,2021,w garażu podziemnym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24675407.html","Apartament, ul. Zakrzowiecka","Zakrzowiecka 57, Pychowice/ Stare Dębniki, Kraków, małopolskie",2 790 000 zł,118 m²,"23 644,07 zł/m²",1,2.0,4,2023,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,grabczaka-8/24425542.html?2%2Cmieszkanie","Nowe mieszkanie Gotyk, ul. Grabczaka 8",,,"58,36 m²",,III kwartał 2024,,suterena,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24615583.html",Mieszkanie,"Głowackiego, Krowodrza, Kraków, małopolskie",1 098 000 zł,"61,73 m²","17 787,14 zł/m²",4,5.0,3,2009,tak,wtórny,
