url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24903375.html","Mieszkanie, Aleja gen. Władysława Andersa","Aleja gen. Władysława Andersa, Nowa Huta, Kraków, małopolskie",799 000 zł,"57,58 m²","13 876,35 zł/m²",3,4.0,3,1952,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24903214.html","Mieszkanie, ul. Pachońskiego","Pachońskiego, Prądnik Biały, Kraków, małopolskie",620 000 zł,"45,50 m²","13 626,37 zł/m²",8,10.0,3,1978,-,wtórny,spółdzielcze własnościowe
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24913837.html","Mieszkanie, Osiedle Albertyńskie","Osiedle Albertyńskie, Bieńczyce, Kraków, małopolskie",689 000 zł,41 m²,"16 804,88 zł/m²",5,10.0,2,1980,parking publiczny / na ulicy,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24915475.html","Mieszkanie, ul. Orlińskiego","Orlińskiego, Czyżyny, Kraków, małopolskie",570 000 zł,31 m²,"18 387,10 zł/m²",1,7.0,1,2017,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24922082.html","Kawalerka, ul. Domagały","Domagały, Złocień, Kraków, małopolskie",539 000 zł,"26,36 m²","20 447,65 zł/m²",3,4.0,1,2023,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24905124.html","Mieszkanie, ul. Wrocławska","Wrocławska 62, Krowodrza, Kraków, małopolskie",650 000 zł,53 m²,"12 264,15 zł/m²",4,4.0,2,-,przynależne na terenie ogrodzonym,natychmiast,tak
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24907470.html","Mieszkanie, Osiedle Albertyńskie","Osiedle Albertyńskie, Albertyńskie, Kraków, małopolskie",545 000 zł,41 m²,"13 292,68 zł/m²",3,4.0,2,1964,-,wtórny,spółdzielcze własnościowe
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24900060.html","Mieszkanie, ul. Nowowiejska","Nowowiejska, Łobzów, Kraków, małopolskie",599 000 zł,40 m²,14 975 zł/m²,5,5.0,2,1966,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/24906679.html","Mieszkanie, Osiedle Słoneczne","Osiedle Słoneczne, Słoneczne, Kraków, małopolskie",680 000 zł,"47,20 m²","14 406,78 zł/m²",2,3.0,2,1958,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,forma-otwarta/24139343.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Wielkie, ul. Sosnowiecka",,981 000 zł,"71,39 m²","13 741,42 zł/m²",IV kwartał 2024,,4,3,garaż,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,forma-otwarta/24139994.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Wielkie, ul. Sosnowiecka",,863 000 zł,"61,85 m²","13 953,11 zł/m²",IV kwartał 2024,,4,3,garaż,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,forma-otwarta/24138999.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Wielkie, ul. Sosnowiecka",,846 000 zł,"58,83 m²","14 380,42 zł/m²",IV kwartał 2024,,5,3,garaż,IV kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24899848.html","Mieszkanie, ul. Kazimierza Wielkiego","Kazimierza Wielkiego, Łobzów, Kraków, małopolskie",1 499 000 zł,"86,30 m²","17 369,64 zł/m²",1,4.0,4,1990,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24907527.html","Mieszkanie, ul. Frycza-Modrzewskiego","Frycza-Modrzewskiego, Żabiniec, Kraków, małopolskie",880 000 zł,"44,60 m²","19 730,94 zł/m²",1,4.0,2,2000,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,pmreco-zielona-wola/24471234.html?2%2Cmieszkanie","Nowe mieszkanie Wola Justowska, ul. Królowej Jadwigi",,1 656 876 zł,"98,04 m²",16 900 zł/m²,zrealizowana,,parter,5,naziemne,"październik 2023, zrealizowana",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24919621.html","Apartament, ul. Czerwone Maki","Czerwone Maki, Europejskie, Kraków, małopolskie",890 000 zł,"52,67 m²","16 897,66 zł/m²",2,5.0,2,2009,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,nad-jeziorem/24804428.html","Mieszkanie, ul. Pychowicka","Pychowicka, Ruczaj, Kraków, małopolskie",1 300 000 zł,120 m²,"10 833,33 zł/m²",3,3.0,4,2008,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,moderno-lobzow-1/24748455.html?2%2Cmieszkanie","Nowe mieszkanie Krowodrza, ul. Składowa 16",,1 019 000 zł,"61,43 m²","16 587,99 zł/m²",oddana do użytku,,2,3,-,"IV kwartał 2023, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24914893.html","Mieszkanie, ul. Borowego","Borowego 35, Wola Justowska, Kraków, małopolskie",1 159 700 zł,"44,69 m²","25 949,88 zł/m²",1,3.0,2,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),
