url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard,nad-rzeka/24707680.html","Apartament, ul. Rejtana","Rejtana 4, Stare Podgórze, Kraków, małopolskie",820 000 zł,"30,45 m²","26 929,39 zł/m²",2,5.0,1,2012,parking strzeżony w pobliżu,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24470221.html","Kawalerka, ul. Szlak","Szlak, Stare Miasto, Kraków, małopolskie",369 000 zł,"19,80 m²","18 636,36 zł/m²",parter,3.0,1,1908,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dluga-residence/23882806.html?2%2Cmieszkanie","Nowe mieszkanie Kleparz, ul. Długa 24",,,"57,45 m²",,luty 2024,,4,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24663707.html","Apartament, ul. Praska","Praska, Dębniki, Kraków, małopolskie",930 000 zł,"46,20 m²","20 129,87 zł/m²",2,3.0,1,2014,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24757680.html","Mieszkanie, ul. Marchołta","Marchołta, Prądnik Czerwony, Kraków, małopolskie",599 000 zł,"41,80 m²","14 330,14 zł/m²",5,5.0,2,2000,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24556498.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 236 000 zł,"59,16 m²","20 892,49 zł/m²",I kwartał 2024,,parter,3,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24797259.html",Apartament,"Piastowska, Krowodrza, Kraków, małopolskie",1 566 000 zł,82 m²,"19 097,56 zł/m²",2,3.0,3,2023,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24575727.html","Mieszkanie, ul. Wiosenna","Wiosenna, Wola Justowska, Kraków, małopolskie",2 990 000 zł,"184,88 m²","16 172,65 zł/m²",parter,1.0,5,2014,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24740102.html","Apartament, ul. Klimeckiego","Klimeckiego, Zabłocie, Kraków, małopolskie",1 439 000 zł,77 m²,"18 688,31 zł/m²",1,6.0,4,2023,w garażu podziemnym,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24796207.html","Mieszkanie, Osiedle Złotego Wieku","Osiedle Złotego Wieku, Nowa Huta, Kraków, małopolskie",823 000 zł,52 m²,"15 826,92 zł/m²",3,4.0,3,1980,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24796966.html","Mieszkanie, ul. Pachońskiego","Pachońskiego, Prądnik Biały, Kraków, małopolskie",720 000 zł,53 m²,"13 584,91 zł/m²",3,10.0,3,1978,-,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,willa-zalesie/24490217.html?2%2Cmieszkanie","Nowe mieszkanie Ruczaj, ul. Kobierzyńska 145",,1 058 500 zł,73 m²,14 500 zł/m²,IV kwartał 2025,,2,4,-,IV kwartał 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24794601.html","Mieszkanie, ul. Vetulaniego","Vetulaniego, Prądnik Biały, Kraków, małopolskie",710 000 zł,"47,24 m²","15 029,64 zł/m²",5,7.0,3,2024,tak,pierwotny (zobacz inne nowe mieszkania w Krakowie),własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,strzelcow-28/24620976.html?2%2Cmieszkanie","Nowe mieszkanie Prądnik Czerwony, ul. Strzelców 28",,,"62,89 m²",,III kwartał 2025,,3,3,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,strzelcow-28/24621308.html?2%2Cmieszkanie","Nowe mieszkanie Prądnik Czerwony, ul. Strzelców 28",,,"66,74 m²",,III kwartał 2025,,3,4,garaż,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24789179.html","Mieszkanie, ul. Vetulaniego","Vetulaniego, Prądnik Biały, Kraków, małopolskie",719 000 zł,"47,26 m²","15 213,71 zł/m²",5,7.0,3,2023,w garażu podziemnym,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24790028.html","Mieszkanie, ul. Woźniców","Woźniców, Czyżyny, Kraków, małopolskie",660 000 zł,"34,50 m²","19 130,43 zł/m²",3,4.0,2,2023,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,przy-lesie/24786836.html","Mieszkanie, Aleja Juliusza Słowackiego","Aleja Juliusza Słowackiego, Stare Miasto, Kraków, małopolskie",699 000 zł,33 m²,"21 181,82 zł/m²",2,6.0,2,1960,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24787014.html","Mieszkanie, ul. Mały Płaszów","Mały Płaszów, Płaszów, Kraków, małopolskie",730 000 zł,"56,60 m²","12 897,53 zł/m²",parter,4.0,2,1998,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,deweloperski,przy-lesie/24787159.html","Mieszkanie, ul. Klimeckiego","Klimeckiego, Zabłocie, Kraków, małopolskie",840 000 zł,"45,69 m²","18 384,77 zł/m²",2,5.0,2,-,-,pierwotny (zobacz inne nowe mieszkania w Krakowie),
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24787882.html",Mieszkanie,"Powstańców, Prądnik Czerwony, Kraków, małopolskie",1 590 000 zł,"118,49 m²","13 418,85 zł/m²",1,1.0,3,1955,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24785681.html","Mieszkanie, ul. Kobierzyńska","Kobierzyńska, Ruczaj, Kraków, małopolskie",1 434 000 zł,"150,59 m²","9 522,54 zł/m²",4,4.0,4,1999,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
