url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/tanie-mieszkanie-na-sprzedaz-ID4oxdP,Tanie mieszkanie na sprzedaż,"ul. Żywiecka, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",155 000 zł,"13,3 m²",11 654 zł/m²,2/2,1,brak informacji,,wtórny,,,50 zł,,biuro nieruchomości,nie,taras,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-70m-gotowe-osiedle-blisko-tramwaju-ID4oxfc,"Mieszkanie 70m², Gotowe osiedle blisko tramwaju","ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie",994 949 zł,"69,87 m²",14 240 zł/m²,5/5,3,2023,,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-krakow-pradnik-bialy-ID4oxfe,Mieszkanie - Kraków Prądnik Biały,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",947 905 zł,"71,54 m²",13 250 zł/m²,parter/4,4,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/2-pokoje-na-najwyzszym-pietrze-w-nowej-inwestycji-ID4oxjD,2 pokoje na najwyższym piętrze w nowej inwestycji!,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",625 892 zł,"42,29 m²",14 800 zł/m²,6/6,2,2026,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/3-pok-w-okazyjnej-cenie-przy-opolskiej-ID4oxjB,3 pok w okazyjnej cenie | Przy Opolskiej,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",682 423 zł,"51,31 m²",13 300 zł/m²,parter/6,3,2026,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,"taras, ogródek",apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/4-pokoje-w-nizszej-cenie-pradnik-bialy-ID4oxjC,4 pokoje w niższej cenie! Prądnik Biały,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",805 014 zł,"63,89 m²",12 600 zł/m²,parter/6,4,2026,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/2-pokoje-w-nowej-inwestycji-pradnik-bialy-ID4oxjE,2 pokoje w nowej inwestycji | Prądnik Biały,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",656 277 zł,"46,38 m²",14 150 zł/m²,parter/6,2,2026,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,tak,"taras, ogródek",apartamentowiec,pustak
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-pradniku-bialym-ID4oxm9,4 pokojowe mieszkanie na Prądniku Białym!,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",1 491 499 zł,"101,67 m²",14 670 zł/m²,4/4,4,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/3-pok-na-biezanowie-z-ogrodkiem-112-mkw-ID4oxuD,3 pok. na Bieżanowie z ogródkiem 112 mkw,"ul. Potrzask, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",765 000 zł,"62,28 m²",12 283 zł/m²,parter/1,3,2024,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,gazowe,biuro nieruchomości,nie,,blok,brak informacji
https://www.otodom.pl/pl/oferta/3-pok-na-biezanowie-z-ogrodkiem-60-mkw-ID4oxuE,3 pok. na Bieżanowie z ogródkiem 60 mkw,"ul. Potrzask, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",755 000 zł,"63,4 m²",11 909 zł/m²,parter/1,3,2024,,pierwotny,pełna własność,do wykończenia,,gazowe,biuro nieruchomości,nie,,blok,brak informacji
