url,name/title,address,price,area,price-per-area,floor/store,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52m2-balkon-bezposrednio-ID4oySK,2-pokojowe mieszkanie 52m2 + balkon Bezpośrednio,"ul. Mochnaniec, Skotniki, Dębniki, Kraków, małopolskie",Zapytaj o cenę,"52,24 m²",,1/3,2,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-balkon-bezposrednio-ID4nZlx,4-pokojowe mieszkanie 73m2 + balkon Bezpośrednio,"Federowicza, Skotniki, Dębniki, Kraków, małopolskie",Zapytaj o cenę,"73,47 m²",,2/3,4,,garaż/miejsce parkingowe,,pełna własność,do wykończenia,,,,,balkon,,
https://www.otodom.pl/pl/oferta/umeblowane-gotowe-do-zamieszkania-ID4qcBO,"Umeblowane, gotowe do zamieszkania","Łęg, Czyżyny, Kraków, małopolskie",629 000 zł,34 m²,18 500 zł/m²,7/7,2,brak informacji,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,450 zł,miejskie,biuro nieruchomości,tak,,blok,brak informacji
https://www.otodom.pl/pl/oferta/stare-podgorze-traugutta-32-m2-mpec-po-remoncie-ID4qion,Stare podgórze/ Traugutta/ 32 m2/ MPEC/po remoncie,"ul. Romualda Traugutta, Stare Podgórze, Podgórze, Kraków, małopolskie",610 000 zł,32 m²,19 063 zł/m²,2,1,brak informacji,,wtórny,pełna własność,do zamieszkania,550 zł,miejskie,biuro nieruchomości,nie,,kamienica,cegła
https://www.otodom.pl/pl/oferta/przestronne-4-pokojowe-w-poblizu-pl-centralnego-ID4qioE,Przestronne 4-pokojowe w pobliżu Pl. Centralnego,"Nowa Huta, Nowa Huta, Kraków, małopolskie",890 000 zł,71 m²,12 535 zł/m²,1/4,4,1993,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,nie,balkon,blok,inny
https://www.otodom.pl/pl/oferta/mieszkanie-50-m-krakow-ID4qit3,"Mieszkanie, 50 m², Kraków","ul. Kazimierza Pułaskiego, Dębniki, Dębniki, Kraków, małopolskie",910 000 zł,50 m²,18 200 zł/m²,3/4,2,2015,,wtórny,pełna własność,do zamieszkania,600 zł,miejskie,prywatny,tak,,apartamentowiec,żelbet
https://www.otodom.pl/pl/oferta/3-pokoje-ogrodek-ruczaj-bezprowizyjnie-ID4qdp9,3 pokoje | Ogródek | Ruczaj | Bezprowizyjnie,"Jana Kantego Federowicza, Skotniki, Dębniki, Kraków, małopolskie",932 822 zł,"60,12 m²",15 516 zł/m²,1/3,3,2024,garaż/miejsce parkingowe,pierwotny,,do wykończenia,,miejskie,biuro nieruchomości,nie,ogródek,blok,pustak
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-park-awf-ID4qitE,2 pokoje + balkon | Park Awf,"ul. Stanisława Lema, Dąbie, Grzegórzki, Kraków, małopolskie",950 000 zł,43 m²,22 093 zł/m²,5/5,2,2023,garaż/miejsce parkingowe,wtórny,pełna własność,do zamieszkania,500 zł,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/krakow-ludwinow-ul-zatorska-34-m2-ID4qiue,Kraków – Ludwinów – ul. Zatorska – 34 m2,"ul. Zatorska, Ludwinów, Dębniki, Kraków, małopolskie",320 000 zł,34 m²,9 412 zł/m²,parter,1,brak informacji,,wtórny,udział,do remontu,,elektryczne,biuro nieruchomości,nie,,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/krowodrza-2-pokojowe-mieszkanie-z-balkonem-ID4qiuh,Krowodrza - 2 pokojowe mieszkanie z balkonem,"ul. Józefa Friedleina, Krowodrza, Krowodrza, Kraków, małopolskie",599 000 zł,35 m²,17 114 zł/m²,2/4,2,brak informacji,garaż/miejsce parkingowe,wtórny,pełna własność,do wykończenia,370 zł,miejskie,biuro nieruchomości,nie,"balkon, ogródek",blok,cegła
https://www.otodom.pl/pl/oferta/kamienica-4-pokoje-krakow-kazimierz-starowislna-ID4qiw9,Kamienica 4 pokoje Kraków Kazimierz Starowiślna,"ul. Starowiślna, Kazimierz, Stare Miasto, Kraków, małopolskie",1 049 000 zł,77 m²,13 623 zł/m²,3/4,4,1878,,wtórny,,do remontu,,gazowe,biuro nieruchomości,nie,,kamienica,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-60-5m2-krakow-plaszow-ul-przewoz-ID4qiw8,Mieszkanie 60.5m2 Kraków Płaszów ul. Przewóz,"ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie",985 000 zł,"60,5 m²",16 281 zł/m²,1/6,3,2012,,wtórny,pełna własność,do zamieszkania,535 zł,miejskie,prywatny,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pokoje-ul-skotnicka-debniki-48-18-m2-ID4qiwA,"2 pokoje ul. Skotnicka, Dębniki -48,18 m2","Skotniki, Dębniki, Kraków, małopolskie",565 000 zł,"48,18 m²",11 727 zł/m²,parter/2,2,1930,garaż/miejsce parkingowe,wtórny,,do zamieszkania,,gazowe,biuro nieruchomości,nie,,dom wolnostojący,brak informacji
https://www.otodom.pl/pl/oferta/3-pok-2016-rok-blisko-agh-dobra-komunikacja-ID4qhkV,"3-pok., 2016 rok, blisko AGH, dobra komunikacja","ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie",875 000 zł,53 m²,16 509 zł/m²,3/4,3,2016,,wtórny,pełna własność,do zamieszkania,500 zł,miejskie,biuro nieruchomości,tak,balkon,blok,brak informacji
https://www.otodom.pl/pl/oferta/2-pokoje-42-m2-balkon-0-prowizji-brak-pcc-ID4qiyo,2 Pokoje| 42 M2 | Balkon | 0 % Prowizji | Brak Pcc,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",616 371 zł,"41,93 m²",14 700 zł/m²,1/8,2,2025,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/oddanie-w-lipcu-przy-kazimierzu-dni-otwarte-ID4qizB,Oddanie w lipcu • Przy Kazimierzu • DNI OTWARTE,"Stare Podgórze, Podgórze, Kraków, małopolskie",711 021 zł,"37,68 m²",18 870 zł/m²,3/4,2,brak informacji,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,cegła
https://www.otodom.pl/pl/oferta/sprzedaz-mieszkania-27-m2-stare-miasto-krakow-ID4qiA5,"Sprzedaż mieszkania 27 m2, Stare Miasto, Kraków","ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",690 000 zł,27 m²,25 556 zł/m²,3/5,1,2016,,wtórny,,,,inne,biuro nieruchomości,tak,,apartamentowiec,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-na-trzy-strony-swiata-dwa-balkony-ID4qiAk,Mieszkanie na trzy strony Świata! Dwa Balkony,"ul. Lucjana Rydla, Bronowice, Bronowice, Kraków, małopolskie",984 999 zł,55 m²,17 909 zł/m²,4/4,3,2025,garaż/miejsce parkingowe,pierwotny,pełna własność,do wykończenia,,miejskie,biuro nieruchomości,tak,balkon,blok,pustak
https://www.otodom.pl/pl/oferta/kawalerka-ruczaj-ogrodek-do-wejscia-mpk-ID4qiAq,"Kawalerka, ruczaj, ogródek, do wejścia, Mpk","ul. Obozowa, Ruczaj, Dębniki, Kraków, małopolskie",540 000 zł,30 m²,18 000 zł/m²,parter/4,1,2006,,wtórny,pełna własność,do zamieszkania,,miejskie,biuro nieruchomości,nie,"balkon, ogródek",blok,brak informacji
